"PSH_CODE","PSH_NAME"
3137,"MOHICAN"
3138,"MOIRA"
3139,"MOKANGER"
3140,"MOKEPILLY"
3141,"MOKOAN"
3142,"MOLESWORTH"
3143,"MOLIAGUL"
3144,"MOLKA"
3145,"MOLOGA"
3146,"MONBULK"
3147,"MONDA"
3148,"MONEA NORTH"
3149,"MONEA SOUTH"
3150,"MONEGEETTA"
3151,"MONIVAE"
3152,"MONOMAK"
3153,"MOOLAP"
3154,"MOOLERR"
3155,"MOOLORT"
3156,"MOOLPAH"
3157,"MOOMOWROONG"
3158,"MOONDARRA"
3159,"MOONIP"
3160,"MOONKAN"
3161,"MOONLIGHT"
3162,"MOORA"
3163,"MOORABBIN"
3164,"MOORADORANOOK"
3165,"MOORALLA"
3166,"MOORARBOOL EAST"
3167,"MOORARBOOL WEST"
3168,"MOORBANOOL"
3169,"MOOREE"
3170,"MOORMBOOL EAST"
3171,"MOORMBOOL WEST"
3172,"MOORMURNG"
3173,"MOORNAPA"
3559,"TARRAWARRA NORTH"
3560,"TARRAWINGEE"
3561,"TARRAYOUKYAN"
3562,"TARRENGOWER"
3563,"TARWIN"
3564,"TARWIN SOUTH"
3565,"TATONG"
3566,"TATONGA"
3567,"TATYOON"
3568,"TAWANGA"
3569,"TCHIRREE"
3570,"TCHUTERR"
3571,"TEDDYWADDY"
3572,"TELANGATUK"
3573,"TELBIT"
3574,"TELBIT WEST"
3575,"TERANG"
3576,"TERLITE-MUNJIE"
3577,"TERRAPPEE"
3578,"TERRICK TERRICK EAST"
3579,"TERRICK TERRICK WEST"
3580,"TERRINALLUM"
3581,"THALIA"
3582,"THARANBEGGA"
3583,"THEDDORA"
3584,"THOLOGOLONG"
3585,"THORKIDAAN"
3586,"THORNLEY"
3587,"THORNTON"
3588,"THOWGLA"
3589,"THURRA"
3590,"TIEGA"
3591,"TILDESLEY EAST"
3592,"TILDESLEY WEST"
3593,"TIMBARRA"
3594,"TIMBEROO"
3595,"TIMBOON"
3596,"TIMMERING"
3597,"TINAMBA"
3598,"TINGARINGY"
3599,"TINTALDRA"
3600,"TITTYBONG"
3601,"TOLTOL"
3602,"TONGALA"
3603,"TONGARO"
3604,"TONG BONG"
3605,"TONGHI"
3606,"TONGIO-MUNJIE EAST"
3607,"TONGIO-MUNJIE WEST"
3608,"TONIMBUK"
3609,"TONIMBUK EAST"
3610,"TOOAN"
3611,"TOOBORAC"
3612,"TOOLAMBA"
3613,"TOOLAMBA WEST"
3614,"TOOLANG"
3615,"TOOLIOROOK"
3616,"TOOLKA"
3617,"TOOLLEEN"
3618,"TOOLOME"
3619,"TOOLONDO"
3620,"TOOLONGROOK"
3621,"TOOLOY"
3622,"TOOMBON"
3623,"TOOMBULLUP"
3624,"TOOMBULLUP NORTH"
3625,"TOONAMBOOL"
3626,"TOONGABBIE NORTH"
3627,"TOONGABBIE SOUTH"
3628,"TOONGINBOOKA"
3629,"TOONYARAK"
3630,"TOORA"
3631,"TOORAK"
3632,"TOORONGO"
3633,"TOO-ROUR"
3634,"TOOROURRONG"
3635,"TOORT"
3636,"TORBRECK"
3637,"TOTTINGTON"
3638,"TOURELLO"
3639,"TOWAMBA"
3640,"TOWAN"
3641,"TOWANINNY"
3642,"TOWANWAY"
3643,"TOWMA"
3644,"TOWONG"
3645,"TRAAWOOL"
3646,"TRAGOWEL"
3647,"TRARALGON"
3648,"TRAWALLA"
3649,"TRENTHAM"
3650,"TREWALLA"
3651,"TRUGANINA"
3652,"TUBBUT"
3653,"TULILLAH"
3654,"TULLAMARINE"
3655,"TULLICH"
3656,"TULLYVEA"
3657,"TUNART"
3658,"TUNGIE"
3659,"TURANDUREY"
3660,"TURKEETH"
3661,"TUROAR"
3662,"TURRUMBERRY"
3663,"TURRUMBERRY NORTH"
3664,"TUTEGONG"
3665,"TUTYE"
3666,"TYABB"
3667,"TYAGOOK"
3668,"TYALLA"
3669,"TYAMOONYA"
3670,"TYAR"
3671,"TYENNA"
3672,"TYIRRA"
3673,"TYLDEN"
3674,"TYNTYNDER"
3675,"TYNTYNDER NORTH"
3676,"TYNTYNDER WEST"
3677,"TYRENDARRA"
3678,"TYRRELL"
3679,"ULTIMA"
3680,"ULUPNA"
3681,"UNDERA"
3682,"UNDERBOOL"
3683,"UNDOWAH"
3684,"UPOTIPOTPON"
3685,"URANGARA"
3686,"VECTIS EAST"
3687,"VITE VITE"
3688,"WAAIA"
3689,"WAANYARRA"
3690,"WAARRE"
3691,"WABBA"
3692,"WABDALLAH"
3693,"WABONGA"
3694,"WABONGA SOUTH"
3695,"WA-DE-LOCK"
3696,"WAGANT"
3697,"WAGGARANDALL"
3698,"WAGRA"
3699,"WAHRING"
3700,"WAIL"
3701,"WAITCHIE"
3702,"WALHALLA"
3703,"WALHALLA EAST"
3704,"WALLABY"
3705,"WALLAGOOT"
3706,"WALLALOO"
3707,"WALLAN WALLAN"
3708,"WALLA WALLA"
3709,"WALLINDUC"
3710,"WALLOWA"
3711,"WALLPOLLA"
3712,"WALLUP"
3713,"WALMER"
3714,"WALPA"
3715,"WALPAMUNDA"
3716,"WALPEUP"
3717,"WALWA"
3718,"WAMBA"
3719,"WANALTA"
3720,"WANDILIGONG"
3721,"WANDIN YALLOCK"
3722,"WANDO"
3723,"WANDOWN"
3724,"WANGARABELL"
3725,"WANGARATTA NORTH"
3726,"WANGARATTA SOUTH"
3727,"WANGERRIP"
3728,"WANGIE"
3729,"WANGOOM"
3730,"WANNAEUE"
3731,"WANURP"
3732,"WANWANDYRA"
3733,"WANWIN"
3734,"WAPPAN"
3735,"WARANGA"
3736,"WARATAH"
3737,"WARATAH NORTH"
3738,"WARBURTON"
3739,"WAREEK"
3740,"WARGAN"
3741,"WARINA"
3742,"WARMUR"
3743,"WARNGAR"
3744,"WARRABKOOK"
3745,"WARRACBARUNAH"
3746,"WARRACKNABEAL"
3747,"WARRAGAMBA"
3748,"WARRAGUL"
3749,"WARRAIN"
3750,"WARRAK"
3751,"WARRAMBAT"
3752,"WARRAMBINE"
3753,"WARRANDYTE"
3754,"WARRANOOK"
3755,"WARRAQUIL"
3756,"WARRA WARRA"
3757,"WARRAYURE"
3758,"WARREEN"
3759,"WARRENBAYNE"
3760,"WARRENHEIP"
3761,"WARRENMANG"
3762,"WARRIMOO"
3763,"WARRION"
3764,"WARROCK"
3765,"WARRONG"
3766,"WARROWITUE"
3767,"WARTOOK"
3768,"WARUNG"
3769,"WATAEPOOLAN"
3770,"WATCHEGATCHECA"
3771,"WATCHEM"
3772,"WATCHUPGA"
3773,"WATEGAT"
3774,"WATGANIA"
3775,"WATGANIA WEST"
3776,"WATHE"
3777,"WATTA WELLA"
3778,"WAT WAT"
3779,"WAU WAUKA"
3780,"WAU WAUKA WEST"
3781,"WAYGARA"
3782,"WEDDERBURNE"
3783,"WEEAPROINAH"
3784,"WEECURRA"
3785,"WEERAGUA"
3786,"WEERANGOURT"
3787,"WEERING"
